병원명,업무구분,대표전화,주소,위도,경도,월요일 진료,화요일 진료,수요일 진료,목요일 진료,금요일 진료,토요일 진료,일요일 진료,공휴일 진료,일요일진료,데이터기준일자
더푸른의원,응급의료기관 이외 > 의원,031-413-0150,"경기도 안산시 단원구 원초로 23, 안산8차푸르지오상가 상가동 B06-1,B07,B07-1호 (원곡동)",37.3299865,126.8014488,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-,,2020-09-25
강남바른추의원,응급의료기관 이외 > 의원,031-405-8275,"경기도 안산시 단원구 광덕3로 167, 신영프라자 303,304호 (고잔동)",37.312517,126.832132,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~15:00,-,-,,2020-09-25
로앤산부인과의원,응급의료기관 이외 > 의원,031-414-8833,"경기도 안산시 단원구 고잔1길 33, 2층 (고잔동, 봉산빌딩)",37.3184237,126.8372402,10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,10:00~18:00,-,09:00~13:00,,2020-09-25
박진영병원,응급의료기관 이외 > 병원,031-405-2200,"경기도 안산시 단원구 광덕대로 181, 2층, 6,7층일부층 (고잔동, BYC빌딩)",37.3127556,126.8292665,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:30,-,-,,2020-09-25
송기헌소아과의원,응급의료기관 이외 > 의원,031-401-1373,"경기도 안산시 단원구 화정로 6, 208호 (선부동, 삼희프라자)",37.3322272,126.813381,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,10:00~12:00,09:00~13:00,Y,2020-09-25
안산개구쟁이치과의원,응급의료기관 이외 > 치과의원,031-475-8875,"경기도 안산시 단원구 광덕4로 220, 508호 (고잔동, 밀레니엄프라자)",37.3144798,126.8369348,10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,-,-,-,,2020-09-25
양은수내과의원,응급의료기관 이외 > 의원,031-401-8517,"경기도 안산시 단원구 초지로 100, 302호 (초지동, 세종프라자)",37.3076191,126.815076,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,-,-,,2020-09-25
이홍준소아과의원,응급의료기관 이외 > 의원,031-482-8110,"경기도 안산시 단원구 선부광장1로 56, 304호 (선부동, 일성이즈마트)",37.336532,126.810714,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~15:30,09:30~13:00,09:30~13:00,Y,2020-09-25
정이비인후과의원,응급의료기관 이외 > 의원,031-401-8085,"경기도 안산시 단원구 초지로 100, 303호 (초지동, 세종프라자)",37.3632453,126.7304037,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-,,2020-09-25
21세기경희한의원,응급의료기관 이외 > 한의원,031-482-1075,경기도 안산시 단원구 광덕동로 55 (고잔동),37.3093634,126.8323028,10:00~19:30,10:00~19:30,10:00~19:30,14:00~19:30,10:00~19:30,10:00~16:00,-,-,,2020-09-25
안산우리정신건강의학과의원,응급의료기관 이외 > 의원,031-487-3375,"경기도 안산시 단원구 광덕4로 260, 501~505호 (고잔동, 윈윈프라자)",37.3142411,126.8414037,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~14:00,-,-,,2020-09-25
안산중앙역마취통증의학과의원,응급의료기관 이외 > 의원,031-402-7585,"경기도 안산시 단원구 고잔로 72, 503~507호 (고잔동)",37.318914,126.8342412,10:00~20:30,10:00~20:30,10:00~20:30,10:00~20:30,10:00~18:30,10:00~14:00,-,-,,2020-09-25
양지한의원,응급의료기관 이외 > 한의원,031-405-7582,"경기도 안산시 단원구 와동공원로 155, 2~4층 (와동)",37.3453495,126.8213547,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,,2020-09-25
재단법인 자생의료재단 안산자생한방병원,응급의료기관 이외 > 한방병원,031-362-8662,경기도 안산시 단원구 광덕대로 241 (고잔동),37.3181416,126.8296613,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,Y,2020-09-25
미플란트치과의원,응급의료기관 이외 > 치과의원,031-495-9990,"경기도 안산시 단원구 산단로 296, 대우테크노피아아파트 201호 (원시동)",37.3218113,126.7883838,09:30~19:00,09:30~20:00,09:30~19:00,09:30~20:00,09:30~19:00,09:30~14:00,-,-,,2020-09-25
톡스앤필의원,응급의료기관 이외 > 의원,031-402-4842,"경기도 안산시 단원구 예술대학로 17, 620~622호 (고잔동, 안산중앙노블레스)",37.3185883,126.8364913,10:30~20:30,10:30~20:30,10:30~20:30,10:30~20:30,10:30~20:30,10:30~17:00,10:30~17:00,-,Y,2020-09-25
일등한의원,응급의료기관 이외 > 한의원,031-410-0102,"경기도 안산시 단원구 라성로 36, B동 109~112호 (원곡동)",37.3271917,126.8008523,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~16:00,-,09:00~16:00,,2020-09-25
생기한의원안산점,응급의료기관 이외 > 한의원,031-365-4779,"경기도 안산시 단원구 고잔로 76, 6층 601호 (고잔동, 영풍빌딩)",37.3188958,126.8348793,10:00~19:00,10:00~21:00,-,10:00~21:00,10:00~19:00,10:00~15:00,-,-,,2020-09-25
온누리병원,응급의료기관 외의 의료기관(응급의료시설) > 병원,031-412-2200,경기도 안산시 단원구 선부로 201 (선부동),37.3418275,126.8174982,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~13:00,00:00~24:00,00:00~24:00,Y,2020-09-25
장동욱병원,응급의료기관 이외 > 병원,031-493-2119,"경기도 안산시 단원구 동산로 60, 3층 (원시동)",37.312761,126.7971015,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~15:00,-,-,,2020-09-25
동성한방병원,응급의료기관 이외 > 한방병원,031-483-5500,"경기도 안산시 단원구 라성안길 17, 101,302,302-1,307,307-1,2,3호 (원곡동, 베스트플라자)",37.3277113,126.8023345,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~15:00,-,-,,2020-09-25
포에버의원,응급의료기관 이외 > 의원,1599-8340,"경기도 안산시 단원구 고잔로 88, 803~805호 (고잔동)",37.3187701,126.8360079,10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,10:00~16:00,-,-,,2020-09-25
대자인한의원,응급의료기관 이외 > 한의원,031-405-5075,"경기도 안산시 단원구 예술대학로 9, 309~311호 (고잔동)",37.3177883,126.8365104,09:30~19:00,09:30~21:00,09:30~19:00,09:30~21:00,09:30~19:00,09:30~16:00,-,-,,2020-09-25
안산신우병원,응급의료기관 이외 > 병원,031-484-6500,"경기도 안산시 단원구 원포공원1로 19, 원포빌딩 1, 5층 121,122,501호 (초지동)",37.3003467,126.8124068,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,,2020-09-25
한빛여성병원,응급의료기관 이외 > 병원,031-410-3316,경기도 안산시 단원구 광덕동로 53 (고잔동),37.309108,126.8322617,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~16:00,09:30~13:00,-,Y,2020-09-25
고려가정의원,응급의료기관 이외 > 의원,031-484-6047,"경기도 안산시 단원구 인현중앙길 25, 204-1,2호 (고잔동, 삼두상가)",37.3240832,126.8204063,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-,,2020-09-25
더드림의료소비자생활협동조합미래요양병원,응급의료기관 이외 > 요양병원,031-487-1144,"경기도 안산시 단원구 선부광장1로 38, 401~406호 (선부동, 상록타운)",37.3365975,126.8093841,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-,,2020-09-25
안산수한방병원,응급의료기관 이외 > 한방병원,031-439-1075,경기도 안산시 단원구 당곡로 11 (고잔동),37.3182754,126.8329908,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~13:00,-,-,,2020-09-25
안산조은요양병원,응급의료기관 이외 > 요양병원,031-403-8312,"경기도 안산시 단원구 광덕4로 180 (고잔동,부원프라자 201호, 207호, 301~309호)",37.3145908,126.8326852,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,,2020-09-25
우리요양병원,응급의료기관 이외 > 요양병원,031-413-5757,"경기도 안산시 단원구 원포공원1로 30, 서해프라자 203,204,301~307호 (초지동)",37.3011559,126.8133066,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,-,-,-,,2020-09-25
우성요양병원,응급의료기관 이외 > 요양병원,031-599-6000,"경기도 안산시 단원구 중앙대로 861 (고잔동, 우성요양병원)",37.3173537,126.8320924,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~12:30,-,-,,2020-09-25
치항병원,응급의료기관 이외 > 병원,031-419-3000,경기도 안산시 단원구 고잔2길 2 (고잔동),37.31768,126.8312807,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,,2020-09-25
케이에스병원,응급의료기관 이외 > 병원,031-405-3402,"경기도 안산시 단원구 고잔로 54, 203,302~303호 (고잔동, 에이스타워)",37.3190069,126.8320462,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,,2020-09-25
탑치과병원,응급의료기관 이외 > 치과병원,031-491-5858,"경기도 안산시 단원구 동산로 63, 303~304호 (원시동, 이마트)",37.3143754,126.7972518,10:00~18:00,10:00~20:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~13:00,-,-,,2020-09-25
삼성참편한내과의원,응급의료기관 이외 > 의원,031-483-5678,"경기도 안산시 단원구 화랑로 103, 반월종합상가 C동 A1~A8호 (원곡동)",37.3270887,126.8007991,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~14:00,-,-,,2020-09-25
안산중앙내과의원,응급의료기관 이외 > 의원,031-481-8275,"경기도 안산시 단원구 고잔로 88, 505, 506호 (고잔동)",37.3187701,126.8360079,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-,,2020-09-25
연세제일치과의원,응급의료기관 이외 > 치과의원,031-480-7575,"경기도 안산시 단원구 선부광장1로 69 (선부동, 산호한양아파트 상가동)",37.3362544,126.8125477,09:30~21:00,09:30~21:00,09:30~21:00,09:30~21:00,09:30~19:00,09:30~16:00,-,-,,2020-09-25
사랑인한의원,응급의료기관 이외 > 한의원,031-365-3682,"경기도 안산시 단원구 예술대학로 17, 안산중앙노블레스 307, 319호 (고잔동)",37.3185883,126.8364913,10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,10:00~16:00,10:00~16:00,10:00~16:00,Y,2020-09-25
연세킹의원,응급의료기관 이외 > 의원,031-508-0365,"경기도 안산시 단원구 중앙대로 421, 302-3,303,304호 (신길동, 모리아 오피스텔)",37.3272874,126.7556746,09:00~19:00,09:00~19:00,09:00~19:00,14:00~19:00,09:00~19:00,-,-,-,,2020-09-25
대부보건지소,응급의료기관 이외 > 보건지소,031-481-2559,경기도 안산시 단원구 대부중앙로 103-9 (대부북동),37.2434616,126.5852859,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-,,2020-09-25
두손병원,응급의료기관 이외 > 병원,031-402-0114,경기도 안산시 단원구 선부광장1로 114 (선부동),37.3327882,126.8123803,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~13:00,-,-,,2020-09-25
서울류준하치과교정과치과의원,응급의료기관 이외 > 치과의원,031-405-2811,"경기도 안산시 단원구 예술대학로 17, 406,407호 (고잔동, 안산중앙노블레스)",37.3185883,126.8364913,10:30~20:30,13:00~21:00,-,13:00~21:00,10:30~19:00,09:30~16:00,-,-,,2020-09-25
고대정형외과의원,응급의료기관 이외 > 의원,031-480-7555,"경기도 안산시 단원구 선부로 245, 1~4층 (와동)",37.3415226,126.8223399,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:00~14:00,-,-,,2020-09-25
고려신경외과의원,응급의료기관 이외 > 의원,031-482-5072,"경기도 안산시 단원구 화랑로 358, 213,214호 (고잔동, 자유센타)",37.3209232,126.8274078,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~13:00,-,-,,2020-09-25
경희사암한의원,응급의료기관 이외 > 한의원,031-439-3003,"경기도 안산시 단원구 광덕동로 101, 203호 (고잔동, 두일빌딩)",37.3135623,126.8326587,10:00~20:00,-,10:00~20:00,10:00~20:00,10:00~20:00,10:00~18:00,-,-,,2020-09-25
이포유(e4u)치과의원,응급의료기관 이외 > 치과의원,031-403-7575,"경기도 안산시 단원구 선부광장북로 36, 213~215호 (선부동, 동명벽산상사)",37.3376431,126.8110756,09:30~21:00,09:30~19:00,09:30~21:00,09:30~19:00,09:30~21:00,09:30~16:00,-,-,,2020-09-25
한빛한의원,응급의료기관 이외 > 한의원,031-401-8275,"경기도 안산시 단원구 원초로 24, 302,303호 (원곡동, 벽산블루밍아파트상가동)",37.3285104,126.7996578,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~14:00,-,-,,2020-09-25
호수요양병원,응급의료기관 이외 > 요양병원,031-475-6114,"경기도 안산시 단원구 광덕1로 159, 대림프라자 115호, 403~404호, 501~503호, 601~607호 (고잔동)",37.3080712,126.8273698,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,,2020-09-25
미래연합의원,응급의료기관 이외 > 의원,031-405-8575,"경기도 안산시 단원구 보배4길 1, 2층 (고잔동)",37.3301793,126.8285268,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,-,-,,2020-09-25
엔비의원,응급의료기관 이외 > 의원,031-485-7550,"경기도 안산시 단원구 고잔로 76, 210-1,211,211-1,212,213,214호 (고잔동, 영풍빌딩)",37.3188056,126.83486,10:00~19:00,10:00~20:00,10:00~19:00,10:00~20:00,10:00~19:00,09:30~14:00,-,-,,2020-09-25
젊은신경과의원,응급의료기관 이외 > 의원,031-483-7075,"경기도 안산시 단원구 광덕대로 138, 305~309호 (고잔동, 골든에이스프라자)",37.3087303,126.8306022,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,,2020-09-25
항사랑외과의원,응급의료기관 이외 > 의원,031-486-9975,"경기도 안산시 단원구 광덕대로 174, 304,305호 (고잔동, 월드타운)",37.3119357,126.831011,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:30,-,-,,2020-09-25
미올한의원,응급의료기관 이외 > 한의원,031-486-1023,"경기도 안산시 단원구 예술대학로 17, 안산중앙노블레스 209~211호 (고잔동)",37.3185883,126.8364913,10:30~20:30,10:30~20:30,10:30~20:30,10:30~20:30,10:30~20:30,10:00~15:00,-,-,,2020-09-25
서울윤가정의학과의원,응급의료기관 이외 > 의원,031-364-8119,"경기도 안산시 단원구 선삼로 21, 1층 (선부동)",37.3447883,126.8155997,09:00~18:30,09:00~18:30,14:00~18:30,09:00~18:30,09:00~18:30,09:00~12:30,-,-,,2020-09-25
최비뇨의학과의원,응급의료기관 이외 > 의원,031-485-3977,"경기도 안산시 단원구 라성로 43, 305호 (원곡동, 벽산블루밍상가)",37.3274681,126.8003006,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~15:00,-,-,,2020-09-25
반월정성치과의원,응급의료기관 이외 > 치과의원,031-491-0003,"경기도 안산시 단원구 동산로 48, 2층 (원시동)",37.3128395,126.7960432,09:30~18:30,09:30~19:30,09:30~18:30,09:30~19:30,09:30~18:30,09:30~12:30,-,09:30~18:30,,2020-09-25
에이스병원,응급의료기관 이외 > 병원,1800-7575,"경기도 안산시 단원구 화랑로 376, B1, 1층 일부, 2~5층 (고잔동)",37.3209497,126.8292522,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~15:00,-,-,,2020-09-25
제이케이병원,응급의료기관 이외 > 병원,031-364-8858,"경기도 안산시 단원구 예술대학로4길 10, 지하1, 1~3층 (고잔동, 지디스요양원)",37.33079,126.8399309,09:00~19:00,09:00~17:30,09:00~19:00,09:00~17:30,09:00~19:00,09:00~14:00,-,-,,2020-09-25
우호의료소비자생활협동조합 비올의원,응급의료기관 이외 > 의원,031-487-2888,"경기도 안산시 단원구 광덕대로 174, 월드타운 에이동 302호 (고잔동)",37.3119357,126.831011,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~15:00,-,-,,2020-09-25
중앙방사선과의원,응급의료기관 이외 > 의원,031-480-0220,"경기도 안산시 단원구 고잔로 76, 206,303-5호 (고잔동, 영풍맘모스프라자)",37.3188958,126.8349071,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~14:00,-,-,,2020-09-25
트렌디의원,응급의료기관 이외 > 의원,031-413-1016,"경기도 안산시 단원구 선부광장북로 36, 1층 106호 (선부동, 벽산블루밍아파트)",37.3377616,126.811169,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-,,2020-09-25
선부연세내과의원,응급의료기관 이외 > 의원,031-410-5080,"경기도 안산시 단원구 선부로 183, 3층 305-1,306~307호 (선부동, 화성프라자)",37.3419561,126.8153993,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~15:00,-,-,,2020-09-25
365드림의원,응급의료기관 이외 > 의원,031-364-8015,"경기도 안산시 단원구 선부광장1로 56, 3층 301,308호일부,309호 (선부동)",37.3365541,126.8107141,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,08:00~17:00,09:00~14:00,Y,2020-09-25
정환교피부과의원,응급의료기관 이외 > 의원,031-402-7500,"경기도 안산시 단원구 중앙대로 915, 5층 (고잔동, 월드코아)",37.3171461,126.8382957,09:30~18:00,09:30~18:00,-,09:30~19:00,09:30~18:00,07:30~11:30,-,-,,2020-09-25
최재활의학과의원,응급의료기관 이외 > 의원,031-402-6792,"경기도 안산시 단원구 광덕1로 159, 대림프라자 201~203, 206~207, 303~307, 507 (고잔동)",37.3080712,126.8273698,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,,2020-09-25
고광섭내과의원,응급의료기관 이외 > 의원,031-403-1482,"경기도 안산시 단원구 화랑로 358, 206호 (고잔동)",37.3209537,126.827465,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,,2020-09-25
고은산부인과의원,응급의료기관 이외 > 의원,031-492-5700,"경기도 안산시 단원구 중앙대로 459, 4층 (원곡동)",37.3243902,126.7956954,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~17:00,12:00~17:00,12:00~17:00,Y,2020-09-25
김내과의원,응급의료기관 이외 > 의원,031-484-2636,"경기도 안산시 단원구 고잔1길 16, 501호 (고잔동, 중앙아케이트빌딩)",37.318003,126.83516,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~14:00,-,-,,2020-09-25
동의한방병원,응급의료기관 이외 > 한방병원,031-365-3500,"경기도 안산시 단원구 적금로 120, 안산상공회의소 2,3,4층 (고잔동)",37.3188679,126.8262968,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~13:00,-,-,,2020-09-25
명문소아청소년과의원,응급의료기관 이외 > 의원,031-439-3363,"경기도 안산시 단원구 고잔로 76 (고잔동, 영풍프라자 3층)",37.3188958,126.8348793,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~14:00,-,-,,2020-09-25
배현미산부인과의원,응급의료기관 이외 > 의원,031-401-9186,"경기도 안산시 단원구 예술대학로 20, 202호 (고잔동, 전원빌딩)",37.3187292,126.8372124,09:30~19:00,09:30~19:00,14:00~19:00,09:30~19:00,09:30~19:00,09:30~13:00,-,-,,2020-09-25
서울참피부과의원,응급의료기관 이외 > 의원,031-414-0075,"경기도 안산시 단원구 광덕대로 174, 504호 (고잔동, 월드타운)",37.3119357,126.831011,10:00~20:30,10:00~19:00,-,10:00~20:30,10:00~19:00,10:00~16:00,-,-,,2020-09-25
안녕하세요부부치과의원,응급의료기관 이외 > 치과의원,031-482-0275,"경기도 안산시 단원구 예술대학로 17, 5층 511~513호 (고잔동, 중앙노블레스)",37.3185883,126.8364913,10:00~19:00,10:00~19:00,10:00~19:00,10:00~20:30,10:00~19:00,10:00~14:00,-,-,,2020-09-25
안산산부인과의원,응급의료기관 이외 > 의원,031-495-4587,"경기도 안산시 단원구 원곡로 61, 2층 (원곡동)",37.3323952,126.7941085,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~15:00,-,-,,2020-09-25
이클린치과의원,응급의료기관 이외 > 치과의원,031-403-2836,경기도 안산시 단원구 와동로 122 (와동),37.340765,126.8270792,10:00~19:00,10:00~20:00,10:00~19:00,10:00~20:00,10:00~19:00,10:00~14:00,-,-,,2020-09-25
제이미의원,응급의료기관 이외 > 의원,031-485-2882,"경기도 안산시 단원구 선부광장1로 66, 401,406호 (선부동, 용현빌딩)",37.3360792,126.8116108,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~16:00,-,-,,2020-09-25
참조은내과의원,응급의료기관 이외 > 의원,031-439-7275,"경기도 안산시 단원구 원포공원1로 35, 305호 (초지동, 제일프라자)",37.3016476,126.8127986,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,-,-,,2020-09-25
풍림메디의원,응급의료기관 이외 > 의원,031-410-0110,경기도 안산시 단원구 초지2로 67-17 (초지동),37.3077796,126.8161839,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,09:00~19:00,09:00~13:00,-,-,,2020-09-25
한중메디컬의원,응급의료기관 이외 > 의원,031-495-8877,"경기도 안산시 단원구 신길로 8, 4층 (신길동)",37.3343737,126.788131,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:00~13:00,-,-,,2020-09-25
행복한비뇨기과의원,응급의료기관 이외 > 의원,031-8040-5851,"경기도 안산시 단원구 원포공원1로 20 (초지동, 205호 일부)",37.3003343,126.8132315,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,,2020-09-25
홍제의원,응급의료기관 이외 > 의원,031-486-1662,"경기도 안산시 단원구 예술대학로 89, 201,202,219호 (고잔동)",37.3248694,126.8371121,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,-,-,,2020-09-25
라파통증의학과의원,응급의료기관 이외 > 의원,031-494-7585,"경기도 안산시 단원구 라성로 43, 벽산블루밍아파트 308~309,313~315호 (원곡동)",37.3274681,126.8003006,09:00~20:00,14:00~20:00,09:00~20:00,14:00~20:00,09:00~20:00,09:00~14:00,-,-,,2020-09-25
궁치과병원,응급의료기관 이외 > 치과병원,031-504-2875,"경기도 안산시 단원구 고잔2길 45, 501호 (고잔동, 코스모프라자)",37.3181051,126.8361076,10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,10:00~19:00,09:00~14:00,-,09:00~14:00,,2020-09-25
고려메디웰의원,응급의료기관 이외 > 의원,031-475-2727,"경기도 안산시 단원구 광덕대로 181, 3층 (고잔동, BYC빌딩)",37.3127556,126.8292665,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~14:00,-,-,,2020-09-25
고잔연세소아청소년과의원,응급의료기관 이외 > 의원,031-503-1119,"경기도 안산시 단원구 광덕대로 174, B동 503,507-2호 (고잔동, 월드타운)",37.3119044,126.8310271,08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,08:00~16:00,09:00~13:00,09:00~16:00,Y,2020-09-25
내마음내과의원,응급의료기관 이외 > 의원,031-480-6870,"경기도 안산시 단원구 예술대학로 17, 504호,505호 (고잔동, 중앙노블레스)",37.3185883,126.8364913,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,08:00~13:00,-,-,,2020-09-25
노상원정형외과의원,응급의료기관 이외 > 의원,031-483-2211,"경기도 안산시 단원구 원초로 30, 보성프라자 3층 307호 (원곡동)",37.3286163,126.8016323,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,-,-,,2020-09-25
닥터스피부과의원,응급의료기관 이외 > 의원,031-509-6606,"경기도 안산시 단원구 고잔2길 59, 601호 (고잔동, 신세기빌딩)",37.3177046,126.8377121,10:00~19:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~19:30,10:00~16:00,-,-,,2020-09-25
드림소아청소년과의원,응급의료기관 이외 > 의원,031-401-9975,"경기도 안산시 단원구 원포공원1로 46, 1층 (초지동, 이마트)",37.3030918,126.8130208,10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,10:00~18:00,10:00~18:00,10:00~18:00,Y,2020-09-25
보라성형외과의원,응급의료기관 이외 > 의원,031-483-3366,"경기도 안산시 단원구 고잔1길 7, 3층 306~308호 (고잔동, 석탑프라자)",37.3187014,126.8342127,10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~14:00,-,-,,2020-09-25
성모이비인후과의원,응급의료기관 이외 > 의원,031-485-0585,"경기도 안산시 단원구 선부광장1로 66, 207호 (선부동, 용헌빌딩)",37.3360792,126.8116108,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~17:00,-,09:00~17:00,,2020-09-25
속편한내과의원,응급의료기관 이외 > 의원,031-413-0852,"경기도 안산시 단원구 고잔로 54, 402호-405호 (고잔동, 에이스타워)",37.3190076,126.8321322,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~14:30,-,-,,2020-09-25
안산성모정형외과의원,응급의료기관 이외 > 의원,031-405-4700,"경기도 안산시 단원구 선부광장1로 56, 4층 401,407호 (선부동)",37.3365541,126.8107141,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-,,2020-09-25
안산이미지치과의원,응급의료기관 이외 > 치과의원,031-405-2855,"경기도 안산시 단원구 와동공원로 138, 1층 (와동)",37.3437014,126.8216197,10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,09:00~13:00,-,-,,2020-09-25
안산테크마의원,응급의료기관 이외 > 의원,031-412-2900,"경기도 안산시 단원구 광덕2로 164, 2,3층 (고잔동, 메디피아)",37.3096135,126.8283383,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~14:00,-,-,,2020-09-25
연세꿈소아청소년과의원,응급의료기관 이외 > 의원,031-413-1277,"경기도 안산시 단원구 원초로 30, 301호 (원곡동, 보성프라자)",37.3286163,126.8016323,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,09:00~13:00,-,Y,2020-09-25
