약국명,대표전화,주소,월요일 운영,화요일 운영,수요일 운영,목요일 운영,금요일 운영,토요일 운영,일요일 운영,공휴일 운영,데이터기준일자
상록온누리약국,031-416-7257,경기도 안산시 상록구 용신로 394 (본오동) 505호,08:30~19:30,08:30~19:30,08:30~19:30,08:30~19:30,08:30~19:30,08:30~16:00,09:00~13:00,-,2020-09-25
샘물약국,031-487-0265,"경기도 안산시 상록구 예술광장1로 124, 1층(성포동,경동프라자)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,08:30~19:00,-,09:00~16:00,2020-09-25
로진메디칼약국,031-437-9521,"경기도 안산시 상록구 광덕1로 366, (이동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~21:00,09:00~21:00,-,2020-09-25
청솔약국,031-418-6156,"경기도 안산시 상록구 월피로1길 3, 1층 (월피동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,09:00~14:00,-,2020-09-25
부곡늘푸른약국,031-411-6325,"경기도 안산시 상록구 시낭북로4길 1, 1층(부곡동,도원빌딩)",09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:00,-,-,2020-09-25
비타민약국,031-409-1569,"경기도 안산시 상록구 반석로 66, (본오동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,09:00~21:00,2020-09-25
한대큰사랑약국,031-409-8844,"경기도 안산시 상록구 광덕1로 376, 108,109호(이동,한대프라자)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~18:00,-,-,2020-09-25
광덕약국,031-482-0365,"경기도 안산시 상록구 광덕산2로 22, 103,111호(월피동,은성빌딩)",09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,-,09:00~21:00,2020-09-25
온누리동화약국,031-409-4383,"경기도 안산시 상록구 영화6길 25, 1층 (사동)",09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~13:00,-,2020-09-25
감골약국,031-502-3779,경기도 안산시 상록구 석호로 184 (사동),09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,10:00~18:00,-,2020-09-25
사랑해약국,031-415-5530,경기도 안산시 상록구 용신로 393,08:30~10:00,08:30~10:00,08:30~10:00,08:30~10:00,08:30~10:00,09:00~20:00,-,-,2020-09-25
스타프라자약국,031-405-1922,"경기도 안산시 상록구 화랑로 513, 3층 17호 (성포동, 스타프라자)",09:30~15:00,09:30~15:00,09:30~15:00,09:30~15:00,09:30~15:00,09:30~15:00,-,-,2020-09-25
삼성약국,031-417-9517,"경기도 안산시 상록구 부곡로 135, (부곡동)",09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,-,-,2020-09-25
서울약국,031-480-3886,"경기도 안산시 상록구 수인로 2012, (수암동)",10:00~17:00,10:00~17:00,10:00~17:00,10:00~17:00,10:00~17:00,09:00~15:00,-,-,2020-09-25
기린약국,031-406-2740,"경기도 안산시 상록구 샘골로 143, 106호 (본오동,청원빌딩)",09:00~14:30,09:00~14:30,09:00~14:30,09:00~14:30,09:00~14:30,09:00~15:30,-,-,2020-09-25
